// cosine fits
[O:1]=[C:2]([N])!@;-[O:3]~[C:4] -2.066  0.248  2.083 -0.738 -0.794  0.518 -1.383  0.307 -0.055  3.701  0.219  1.102
[O:1]=[C:2]!@;-[O:3]~[C:4] -2.154  0.674 -1.192  0.934 -0.101  1.599 -1.552  0.995  0.576  1.2   -0.689  1.249
[O:1]=[C:2]!@;-[O:3]~[!#1:4] -0.571  1.367 -0.876  2.    -0.598  0.634 -0.452  1.237 -0.3    0.979  2.128 -0.035
O=[C:1][O:2]!@;-[c:3]~[*:4] -1.325  0.579 -2.839  0.628 -0.211  1.506 -0.339  1.69  -0.136  2.032  0.334 -0.3  
O=[C:1][O:2]!@;-[CX3:3]~[*:4]  0.021  1.535  2.359 -0.11   0.154  0.294  0.287  2.342  0.044 -0.451 -0.651  0.159
O=[C:1][O:2]!@;-[CH1:3][H:4]  1.754  0.04   2.142 -0.392  0.106  0.886  0.351  0.299  0.011  1.727 -0.064  1.25 
O=[C:1][O:2]!@;-[CH2:3]~[C:4] -1.007  1.19   1.818 -0.762  0.637  1.347  0.733  0.097  0.21   0.547  0.004  2.177
[H:1][CX4H1:2]!@;-[O:3][CX4:4]  1.724  0.855  1.255  1.607  0.881  0.968 -0.065  0.526  1.228  0.306  0.572  0.698
[C:1][CH2:2]!@;-[O:3][CX4:4] -1.54   0.793 -1.374  0.879  0.64   1.929  0.383  0.628  1.402  0.318 -0.741  0.332
[*:1][CX4:2]!@;-[O:3][CX3:4](=[!O]) 3.315 0.863 1.202 1.911 2.688 0.807 0.508 0.319 0.459 0.618 0.235 1.002
[O:1][CX4:2]!@;-[O:3][CX4:4]  0.45   0.109  0.016  2.872  1.105  1.41   2.484  0.011  0.432 -0.087 -0.614  0.043
[*:1][CX4:2]!@;-[O:3][CX4:4] -0.328  1.039  0.339  1.595  0.588  1.885  0.297 -0.72   0.697 -0.413 -0.268  1.032
[cH1:1][c:2]([cH1])!@;-[O:3][S:4] -6.894e-02 -4.567e-01  1.363e-02  2.359e+00  3.969e-01  3.062e+00  2.146e+00  1.049e-03  1.036e-02 -1.059e+00 -5.958e-01  1.309e-01
[cH1:1][c:2]([cH0])!@;-[O:3][S:4] -0.385  0.064 -0.435  1.302  0.198  0.275  1.38  -0.146 -0.073  1.426  0.07   0.773
[cH0:1][c:2]([cH0])!@;-[O:3][S:4]  0.347  0.213  4.195  0.034 -1.469  0.378  0.041  2.954 -0.923  0.1    2.309  0.03 
[cH1:1][c:2]([cH1])!@;-[O:3][c:4]  1.38   0.69   2.443  1.134  1.418  0.748  1.476  0.74   1.41   0.624 -0.034  0.994
[cH1:1][c:2]([cH0])!@;-[O:3][c:4] -0.039  1.189  1.11  -1.464  0.022  1.053  0.412  1.884  0.137  0.574  0.477  1.262
[cH0:1][c:2]([cH0])!@;-[O:3][c:4] -0.275  1.266  0.205 -2.319 -0.594  0.744  0.568  1.712 -0.007  1.105  0.122  1.515
[cH0:1][c:2]([cH0])!@;-[O:3][!C;!H:4] -0.186 -0.253  0.64   2.566 -0.988 -0.022  1.079  1.397 -2.19   0.071  1.302  0.524
[cH0:1][c:2]([cH1])!@;-[O:3][!C;!H:4] -1.741  0.018 -2.237  0.458  0.013  2.323 -0.306  1.727  1.451 -0.005 -3.71   0.105
[cH1:1][c:2]([cH1])!@;-[O:3][!C;!H:4] -0.212  1.296  1.715 -0.782  0.089  1.364 -0.017  2.593  1.739 -0.104 -0.968  0.295
[cH:1][c:2]([cH])!@;-[O:3][C:4](F)(F)[F] -0.068  1.32   1.093 -1.217  0.041  1.265  0.074  1.093 -0.014  1.788  0.534  0.336
