// cosine**2 fits
[O:1]=[C:2]([N])!@;-[O:3]~[C:4] -3.491  0.883 -0.872  0.983  0.18   2.639  0.032  1.949  3.136 -0.157 -0.335  0.942
[O:1]=[C:2]!@;-[O:3]~[C:4] -1.672  1.34  -1.624  1.911 -1.255  1.384  0.371  1.792  0.505  1.572 -0.361  1.78 
[O:1]=[C:2]!@;-[O:3]~[!#1:4] -2.194  1.602 -0.805  1.403 -0.126  1.276 -0.133  1.754 -0.306  1.73  -0.207  1.337
O=[C:1][O:2]!@;-[c:3]~[*:4] -3.886  0.919 -0.895  1.291 -0.104  2.021 -0.131  1.597 -0.334  1.574 -0.127  1.673
O=[C:1][O:2]!@;-[CX3:3]~[*:4] -0.812  0.629  0.603  2.239 -0.315  0.637  0.964 -0.364  0.71  -0.646 -0.217  1.526
O=[C:1][O:2]!@;-[CH1:3][H:4]  2.929 -0.573  0.16   1.33  -0.194  0.806  0.65   0.149 -0.004  1.951 -0.239  1.038
O=[C:1][O:2]!@;-[CH2:3]~[C:4] -2.272e+00  1.221e+00  9.213e-02  1.521e+00  8.119e-03  1.850e+00 -2.479e-02  9.536e-01  1.500e+00 -4.587e-04  3.252e-02  3.665e-01
[H:1][CX4H1:2]!@;-[O:3][CX4:4]  6.206  0.653  3.911 -0.013  2.323  0.351 -1.141 -0.576  1.58   0.486  1.798  0.498
[C:1][CH2:2]!@;-[O:3][CX4:4] -2.148e+00  1.121e+00  1.808e-01  2.698e+00 -2.818e-01  1.723e+00 -4.454e-01  6.560e-01  8.170e-02  2.796e-02  2.303e+00  1.489e-03
[*:1][CX4:2]!@;-[O:3][CX3:4](=[!O])  6.587e+00  7.056e-01  2.126e+00  1.782e-01  5.325e+00  9.878e-02  1.435e+00  5.357e-01 -3.083e-03  1.598e+00  2.492e-01 -6.584e-01
[O:1][CX4:2]!@;-[O:3][CX4:4]  0.221  0.478  0.371  0.192 -0.016  2.291 -0.061 -0.955  0.033  2.23   0.201 -0.01 
[*:1][CX4:2]!@;-[O:3][CX4:4]  0.572  1.903 -0.402  1.05  -0.335  1.634 -1.001 -0.143 -2.798  0.034  0.967 -0.096
[cH1:1][c:2]([cH1])!@;-[O:3][S:4] -2.662e-02 -2.909e+00  8.123e-03  2.174e+00 -5.831e-02  2.449e+00 -1.616e-01 -1.589e-01  1.529e-02  2.477e+00  6.804e+00  1.927e-04
[cH1:1][c:2]([cH0])!@;-[O:3][S:4] -4.754e-01  2.389e+00  1.988e-01 -2.033e+00 -1.109e+01 -9.579e-03  1.474e-01  3.350e+00 -3.569e-02  2.332e-01 -5.668e-01  3.311e-01
[cH0:1][c:2]([cH0])!@;-[O:3][S:4]  0.521  0.536  2.363  0.099 -0.725 -0.184  0.181  1.338  0.424 -0.388 -0.039  1.981
[cH1:1][c:2]([cH1])!@;-[O:3][c:4]  4.532e+00  1.235e+00  1.781e+00  1.258e+00  6.983e+00 -1.352e-03  4.588e+00 -3.409e-01 -2.308e+00  8.670e-01 -3.092e+00  3.798e-01
[cH1:1][c:2]([cH0])!@;-[O:3][c:4] -3.22   1.008  0.955  1.631  0.636  1.904 -0.919  0.614 -0.081  0.646  0.62  -0.578
[cH0:1][c:2]([cH0])!@;-[O:3][c:4] -1.357  0.704  1.356  1.429  0.515  0.708 -0.205  1.637  0.143 -0.669  0.822 -0.175
[cH0:1][c:2]([cH0])!@;-[O:3][!C;!H:4]  8.325  0.392  8.578  0.349  6.758  0.199  5.328  0.217  5.598  0.185 -0.399 -2.453
[cH0:1][c:2]([cH1])!@;-[O:3][!C;!H:4] -1.464  1.397 -0.528  1.997 -0.429  1.815  0.955 -0.32  -0.237  0.864 -0.26   1.228
[cH1:1][c:2]([cH1])!@;-[O:3][!C;!H:4] -3.74   0.716 -0.045  1.891 -0.349  1.631 -0.531  1.2    4.784 -0.071 -0.141  1.559
[cH:1][c:2]([cH])!@;-[O:3][C:4](F)(F)[F] -3.695  0.718  0.092  1.845  0.121  3.038 -2.244  0.26   2.741 -0.194 -0.653  0.794
[cH0:1][c:2]([cH0])!@;-[O:3][CX4:4]([!#1])([!#1])([!#1]) -0.328  3.043 -5.048  1.703 -2.046  1.395  0.425  1.834  1.465  1.67  -0.29   2.776
[a:1][c:2]([a])!@;-[O:3][CX4H0:4]  2.546  0.375 -1.885  0.408  0.037  0.924  0.768 -0.608  0.107  2.19  -0.477  0.772
[cH1,n:1][c:2]!@;-[O:3][CRH1:4] -1.064  1.147 -1.816  0.938  0.456  0.984  0.923 -0.38  -0.026  1.734 -0.139  1.163
[cH1,n:1][c:2]!@;-[O:3][CH1:4] -2.15   1.112 -2.031  0.733 -0.496  1.7   -0.054  1.834 -0.543  0.535 -0.196  1.725
[nX2H0:1][c:2]([cH0])!@;-[O:3][CX4H0:4] -1.356  2.013  3.329 -0.232  1.504 -0.423 -0.098  4.168 -2.061  0.023 -0.131  1.531
[cH0:1][c:2]([cH0])!@;-[O:3][CX4H0:4] -1.531  2.41  -1.279  2.012 -0.425  2.86  -0.088  1.179  0.229  1.909  0.136  2.888
[cH0:1][c:2]([nX2])!@;-[O:3][C:4]  2.546  0.375 -1.885  0.408  0.037  0.924  0.768 -0.608  0.107  2.19  -0.477  0.772
[nX2:1][c:2]([nX2])!@;-[O:3][C:4] -4.929  0.639  0.885  1.461  0.131  2.879 -0.72   1.363 -0.556  1.709  0.72   0.226
[nX2:1][c:2]([nX3])!@;-[O:3][C:4] -1.174  2.717 -1.129  2.576 -0.914  2.717 -0.726  2.72  -0.551  2.627 -0.387  2.506
